Turn: R30    | Dial: 50 -> 80 | Zero passes: 0
Turn: L18    | Dial: 80 -> 62 | Zero passes: 0
Turn: R46    | Dial: 62 ->  8 | Zero passes: 1
Turn: R15    | Dial:  8 -> 23 | Zero passes: 1
Turn: L15    | Dial: 23 ->  8 | Zero passes: 1
Turn: L4     | Dial:  8 ->  4 | Zero passes: 1
Turn: R2     | Dial:  4 ->  6 | Zero passes: 1
Turn: R47    | Dial:  6 -> 53 | Zero passes: 1
Turn: R4     | Dial: 53 -> 57 | Zero passes: 1
Turn: L34    | Dial: 57 -> 23 | Zero passes: 1
Turn: L47    | Dial: 23 -> 76 | Zero passes: 2
Turn: R38    | Dial: 76 -> 14 | Zero passes: 3
Turn: R6     | Dial: 14 -> 20 | Zero passes: 3
Turn: L42    | Dial: 20 -> 78 | Zero passes: 4
Turn: L29    | Dial: 78 -> 49 | Zero passes: 4
Turn: R7     | Dial: 49 -> 56 | Zero passes: 4
Turn: L16    | Dial: 56 -> 40 | Zero passes: 4
Turn: L46    | Dial: 40 -> 94 | Zero passes: 5
Turn: R34    | Dial: 94 -> 28 | Zero passes: 6
Turn: L40    | Dial: 28 -> 88 | Zero passes: 7
Turn: R50    | Dial: 88 -> 38 | Zero passes: 8
Turn: L49    | Dial: 38 -> 89 | Zero passes: 9
Turn: R18    | Dial: 89 ->  7 | Zero passes: 10
Turn: L14    | Dial:  7 -> 93 | Zero passes: 11
Turn: R25    | Dial: 93 -> 18 | Zero passes: 12
Turn: L4     | Dial: 18 -> 14 | Zero passes: 12
Turn: R8     | Dial: 14 -> 22 | Zero passes: 12
Turn: R39    | Dial: 22 -> 61 | Zero passes: 12
Turn: L34    | Dial: 61 -> 27 | Zero passes: 12
Turn: L11    | Dial: 27 -> 16 | Zero passes: 12
Turn: R42    | Dial: 16 -> 58 | Zero passes: 12
Turn: R31    | Dial: 58 -> 89 | Zero passes: 12
Turn: L19    | Dial: 89 -> 70 | Zero passes: 12
Turn: L20    | Dial: 70 -> 50 | Zero passes: 12
Turn: R26    | Dial: 50 -> 76 | Zero passes: 12
Turn: R40    | Dial: 76 -> 16 | Zero passes: 13
Turn: R1     | Dial: 16 -> 17 | Zero passes: 13
Turn: R39    | Dial: 17 -> 56 | Zero passes: 13
Turn: L48    | Dial: 56 ->  8 | Zero passes: 13
Turn: L43    | Dial:  8 -> 65 | Zero passes: 14
Turn: R29    | Dial: 65 -> 94 | Zero passes: 14
Turn: L29    | Dial: 94 -> 65 | Zero passes: 14
Turn: L9     | Dial: 65 -> 56 | Zero passes: 14
Turn: L50    | Dial: 56 ->  6 | Zero passes: 14
Turn: R39    | Dial:  6 -> 45 | Zero passes: 14
Turn: R23    | Dial: 45 -> 68 | Zero passes: 14
Turn: R30    | Dial: 68 -> 98 | Zero passes: 14
Turn: L15    | Dial: 98 -> 83 | Zero passes: 14
Turn: L30    | Dial: 83 -> 53 | Zero passes: 14
Turn: L4     | Dial: 53 -> 49 | Zero passes: 14
Turn: L27    | Dial: 49 -> 22 | Zero passes: 14
Turn: R76    | Dial: 22 -> 98 | Zero passes: 14
Turn: R2     | Dial: 98 ->  0 | Zero passes: 15  <== HIT 0!
Turn: L97    | Dial:  0 ->  3 | Zero passes: 15
Turn: R85    | Dial:  3 -> 88 | Zero passes: 15
Turn: L55    | Dial: 88 -> 33 | Zero passes: 15
Turn: L83    | Dial: 33 -> 50 | Zero passes: 16
Turn: R69    | Dial: 50 -> 19 | Zero passes: 17
Turn: R81    | Dial: 19 ->  0 | Zero passes: 18  <== HIT 0!
Turn: R28    | Dial:  0 -> 28 | Zero passes: 18
Turn: L28    | Dial: 28 ->  0 | Zero passes: 19  <== HIT 0!
Turn: L24    | Dial:  0 -> 76 | Zero passes: 19
Turn: L48    | Dial: 76 -> 28 | Zero passes: 19
Turn: L28    | Dial: 28 ->  0 | Zero passes: 20  <== HIT 0!
Turn: R2     | Dial:  0 ->  2 | Zero passes: 20
Turn: L2     | Dial:  2 ->  0 | Zero passes: 21  <== HIT 0!
Turn: R65    | Dial:  0 -> 65 | Zero passes: 21
Turn: R35    | Dial: 65 ->  0 | Zero passes: 22  <== HIT 0!
Turn: R10    | Dial:  0 -> 10 | Zero passes: 22
Turn: L10    | Dial: 10 ->  0 | Zero passes: 23  <== HIT 0!
Turn: R23    | Dial:  0 -> 23 | Zero passes: 23
Turn: R63    | Dial: 23 -> 86 | Zero passes: 23
Turn: L54    | Dial: 86 -> 32 | Zero passes: 23
Turn: L32    | Dial: 32 ->  0 | Zero passes: 24  <== HIT 0!
Turn: L39    | Dial:  0 -> 61 | Zero passes: 24
Turn: R84    | Dial: 61 -> 45 | Zero passes: 25
Turn: R86    | Dial: 45 -> 31 | Zero passes: 26
Turn: R69    | Dial: 31 ->  0 | Zero passes: 27  <== HIT 0!
Turn: L94    | Dial:  0 ->  6 | Zero passes: 27
Turn: R94    | Dial:  6 ->  0 | Zero passes: 28  <== HIT 0!
Turn: R9     | Dial:  0 ->  9 | Zero passes: 28
